자치구별,평수,평당가격,,면적,평,가격,최종가격
,,,,84.9,25.72727273,"41,500",1613.074205
,,,,84.99,25.75454545,"40,300",1564.772326
,,,,84.9,25.72727273,"42,900",1667.491166
,,,,84.85,25.71212121,"40,800",1586.800236
,,,,84.99,25.75454545,"42,800",1661.84257
,,,,84.9,25.72727273,"40,700",1581.978799
,,,,84.99,25.75454545,"41,900",1626.897282
,,,,84.99,25.75454545,"37,500",1456.053653
,,,,84.99,25.75454545,"44,000",1708.436287
,,,,84.9,25.72727273,"44,000",1710.24735
,,,,84.99,25.75454545,"40,700",1580.303565
,,,,84.9,25.72727273,"40,500",1574.204947
,,,,84.85,25.71212121,"41,000",1594.578668
,,,,84.99,25.75454545,"41,000",1591.951994
,,,,84.99,25.75454545,"41,500",1611.366043
,,,,98.51,29.85151515,"33,500",1122.221094
,,,,84.9,25.72727273,"28,350",1101.943463
,,,,84.47,25.5969697,"30,000",1172.013733
